Date,aet,ppt,ro,srad,soilm,tavg,vap,ws,wa
1995_02_2004_10,47.0719,15.52685,0.67175,221.9214,82.2478,22.89475,1.2956,1.39475,24.5394
1995_02_2004_11,28.969,4.35405,0.0,212.08495,60.99835,21.63705,1.08815,1.3122,25.5069
1995_02_2004_12,20.4433,0.79105,0.0,203.6078,44.86975,19.8636,1.00145,1.4938,25.3791
1995_02_2005_01,17.2672,6.4128,0.49935,201.97545,37.232,19.12005,0.94905,1.66655,25.5411
1995_02_2005_02,8.95005,1.29105,0.0,224.80735,32.92515,21.15655,0.9352,1.825,24.92685
1995_02_2005_09,60.9814,156.1284,98.6977,206.58655,111.0149,23.47295,1.7166,1.7548,24.4611
1995_02_2005_10,47.7116,5.51455,0.14605,228.4151,72.1259,23.00445,1.2761,1.59325,24.4512
1995_02_2005_12,15.7742,1.66815,0.0,203.6155,39.9964,19.1346,0.9572,1.4515,24.68205
1995_02_2006_01,9.73185,0.79105,0.0,210.60525,34.5823,19.72605,0.9973,1.73135,24.38685
1995_02_2006_10,44.2031,7.1259,0.5,220.28785,77.1407,23.3972,1.34825,1.3618,27.1755
1995_02_2006_11,27.30185,3.7831,0.0,210.7409,56.8589,21.5367,1.0704,1.3204,27.38565
1995_02_2007_02,10.27025,3.00055,0.0,218.8588,32.26945,21.4834,0.95925,1.6916,26.53875
1995_02_2007_03,7.6762,1.79105,0.0,241.24455,29.6691,23.37255,0.8933,1.6552,25.29225
1995_02_2007_09,59.5018,115.65535,59.6519,207.6429,111.0149,23.65175,1.7453,1.4779,24.0543
1995_02_2007_10,45.01725,0.79105,0.0,232.57375,70.3913,22.8922,1.28045,1.46725,24.5313
1995_02_2007_11,25.30115,1.62635,0.0,212.93995,50.1463,21.41285,1.0885,1.388,24.75135
1995_02_2007_12,14.70155,0.79105,0.0,198.6919,39.7591,19.7906,0.9829,1.40655,25.34715
1995_02_2008_01,9.63,0.79105,0.0,207.40685,34.445,19.1127,0.9502,1.71675,25.47945
1995_02_2008_02,7.61755,0.79105,0.0,228.511,31.15115,20.0876,0.8871,1.7353,24.40215
1995_02_2009_09,69.76425,117.5499,51.33605,222.78765,111.0149,24.1058,1.76515,1.73335,25.0335
1995_02_2009_10,53.90135,31.8752,1.5,217.5042,90.94605,22.97325,1.3011,1.53895,26.07975
1995_02_2009_11,43.01305,34.8047,1.5,200.3989,84.57515,21.25275,1.05905,1.38,25.2864
1995_02_2009_12,37.0558,28.9034,1.5,196.5144,78.56125,20.29575,1.0292,1.30585,25.13385
1995_02_2010_01,28.05895,3.7885,0.0,208.6325,57.66895,18.8047,0.9435,1.6867,24.5709
1995_02_2010_02,20.74045,2.4081,0.0,217.7523,42.79335,21.1209,0.9689,1.6043,24.27795
1995_02_2011_09,58.437,120.43545,65.5004,200.8439,111.0149,23.38625,1.6882,1.70795,25.14375
1995_02_2011_10,44.0228,1.29105,0.0,228.35475,71.8833,23.45025,1.3322,1.3671,24.8445
1995_02_2012_08,51.3084,168.52515,120.696,186.10095,111.0149,22.9083,1.77715,1.9062,27.1989
1995_02_2012_09,56.61175,159.4583,106.326,201.1348,111.0149,23.39065,1.7078,1.52075,26.94105
1995_02_2012_10,43.75695,2.78645,0.0,224.1461,73.47565,23.2931,1.32515,1.39615,25.8111
1995_02_2012_11,26.51485,1.5092,0.0,213.7792,51.98635,21.003,1.03335,1.45685,27.10305
1995_02_2012_12,15.74305,0.79105,0.0,203.382,40.56365,20.0211,0.99665,1.4261,27.1305
1995_02_2013_01,12.37085,3.3326,0.0,208.20635,34.90655,18.85365,0.92885,1.7664,26.83485
1995_02_2013_02,12.92955,6.2477,0.3202,213.71885,31.4513,20.8034,0.93,1.6823,26.90865
1995_02_2013_03,15.5357,10.19825,0.5,236.7436,29.09165,23.31775,0.9182,1.58945,25.90515
1995_02_2013_04,7.822,2.7295,0.0,248.32045,27.3711,25.4175,0.91645,1.7486,23.9904
1995_02_2014_03,16.0528,8.2622,0.5,236.2603,33.4414,22.8822,0.87615,1.52495,26.6724
1995_02_2014_04,9.0498,2.6068,0.0,250.4146,30.4785,25.55435,0.91105,1.64105,24.45255
1995_02_2014_09,62.14365,140.5486,81.9581,209.60635,111.0149,23.5611,1.69295,1.6543,25.06185
1995_02_2014_10,42.93945,4.0563,0.0,218.63475,75.49135,23.39705,1.3332,1.373,25.10145
1995_02_2014_11,25.96075,1.29105,0.0,210.8512,54.1974,21.98235,1.1078,1.3082,24.9993
1995_02_2014_12,22.43745,7.53255,0.5,199.40365,42.53865,19.37465,0.94315,1.5096,25.25805
1995_02_2015_01,28.1521,19.52765,1.0,192.78565,36.49285,18.3347,0.90415,1.69465,25.06095
1995_02_2015_09,67.621,72.2297,8.3941,222.5464,110.82955,24.0136,1.78785,1.6004,24.4485
1995_02_2015_10,44.2911,4.01255,0.0,221.02965,73.9321,23.84855,1.39015,1.38275,25.335
1995_02_2015_11,25.297,0.79105,0.0,204.21255,52.95515,22.4224,1.1331,1.32625,25.41285
1995_02_2015_12,17.215,1.79105,0.0,203.82865,40.96415,19.8623,0.99195,1.47235,25.7418
1995_02_2016_01,12.2899,3.16835,0.0,202.0223,34.9465,19.59645,0.94895,1.6016,25.1028
1995_02_2016_02,8.1365,1.29105,0.0,221.6377,31.47175,21.4107,0.924,1.74295,24.1641
1995_02_2017_03,9.09465,2.94055,0.0,239.113,29.9004,23.28865,0.89975,1.7069,27.3699
1995_02_2017_04,6.29375,0.79105,0.0,256.25055,27.96125,25.9418,0.93875,2.08185,24.35085
1995_02_2017_09,59.50375,119.29085,63.3302,211.53375,111.0149,23.4084,1.67945,1.36555,24.7158
1995_02_2017_10,45.04785,5.35755,0.26635,221.8065,74.6541,23.12695,1.29755,1.4775,24.93315
1995_02_2018_09,56.6832,131.3221,78.2304,197.548,111.0149,22.80775,1.63545,1.89085,25.42095
1995_02_2018_10,42.43325,2.2746,0.0,220.5896,74.21695,23.20845,1.29185,1.40275,25.32285
1995_02_2018_11,27.78085,1.78035,0.0,213.24555,51.5138,21.4874,1.0438,1.42805,24.9615
1995_02_2018_12,16.4452,1.79105,0.0,205.8402,40.3555,18.6758,0.93695,1.5593,24.03855
1995_02_2020_05,6.923,1.29105,0.0,258.73725,28.51165,27.6937,1.13485,2.06385,26.24265
1995_02_2020_06,58.0558,55.68415,2.78515,213.7421,26.9295,24.90995,1.6039,2.1941,24.04305
1995_02_2021_04,7.012,1.72225,0.0,252.0004,27.65415,25.63325,0.9986,1.64285,25.60995
1995_02_2021_11,34.7515,0.79105,0.0,211.13935,69.57145,21.07765,1.14965,1.5977,27.1746
1995_02_2021_12,24.68695,4.523,0.0,199.92435,52.7761,19.36665,1.08685,1.5493,27.4833
1995_04_1995_12,26.95545,18.1608,1.0,223.6701,41.64935,24.68,1.0058,1.5153,21.933
1995_04_1996_01,22.64365,13.3212,0.5,222.31385,33.5382,24.4049,0.97685,1.736,22.2498
1995_04_1996_02,7.60765,1.2719,0.0,252.50425,29.03985,25.96165,0.94655,1.83345,21.22785
1995_04_1996_03,10.1411,5.7719,0.1147,265.02985,26.1352,28.80095,0.9589,1.84795,20.49165
1995_04_1997_03,5.27865,0.7719,0.0,268.5423,25.7894,28.1245,0.91685,1.8851,23.4585
1995_04_1997_10,43.9456,18.9868,1.0,245.37035,82.70505,27.25655,1.25215,1.3479,22.5081
1995_04_1997_11,36.5132,28.4366,1.5,222.69905,75.00595,26.21485,1.03015,1.369,23.0814
1995_04_1998_03,18.303,10.15195,0.5,266.1311,32.184,27.37295,0.85745,1.81245,23.2362
1995_04_1998_04,8.7489,3.09605,0.0,274.669,28.2012,30.44045,0.93715,1.9112,21.85965
1995_04_1999_03,5.5803,0.7719,0.0,272.0557,26.43495,28.20015,0.92165,1.79875,21.98115
1995_04_2000_03,5.7492,0.7719,0.0,273.861,26.612,27.64675,0.87975,2.00185,22.12605
1995_04_2000_10,41.27205,4.3877,0.0,259.9315,51.3721,28.3757,1.3818,1.5838,20.90745
1995_04_2000_12,9.49765,1.30355,0.0,232.51455,31.5218,24.507,0.9964,1.586,22.12515
1995_04_2001_01,11.36735,6.14645,0.4482,235.66835,27.77935,24.00575,0.9413,1.78345,21.9357
1995_04_2001_11,17.1654,1.2719,0.0,244.5392,38.19005,25.85895,1.0758,1.5682,21.64635
1995_04_2002_10,46.0517,5.64825,0.17975,257.34695,67.92415,28.1272,1.3501,1.5763,23.78925
1995_04_2002_12,15.4247,1.7719,0.0,228.0432,36.65885,25.37635,1.0451,1.46155,23.67855
1995_04_2003_01,8.7753,1.2719,0.0,231.2762,30.8833,24.07725,0.9566,1.7145,23.1102
1995_04_2003_02,9.9875,4.8995,0.0,243.0223,27.36525,25.785,0.93215,1.84495,21.9033
1995_04_2004_04,4.83945,1.5438,0.0,280.949,23.01765,31.08935,0.98095,2.1326,22.40415
1995_04_2004_09,64.46805,75.7234,13.0223,252.1558,106.81475,28.51175,1.77415,1.42995,22.08195
1995_04_2004_10,45.2863,15.5077,0.67175,250.0251,78.04765,27.38955,1.2826,1.47025,22.6899
1995_04_2004_11,27.1834,4.3349,0.0,240.18865,56.7982,26.13185,1.07515,1.3877,23.6574
1995_04_2004_12,18.6577,0.7719,0.0,231.7115,40.6696,24.3584,0.98845,1.5693,23.5296
1995_04_2005_01,15.4816,6.39365,0.49935,230.07915,33.03185,23.61485,0.93605,1.74205,23.6916
